연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,cluster,cluster_3-5세,cluster_6-8세,cluster_9-11세
3-5세,180,390,2.0,1.0,0.5555555555555556,0.5029585798816568,4,5,2,2.0,,
3-5세,180,240,2.5,1.0,0.5555555555555556,0.625,3,5,2,2.0,,
3-5세,190,310,3.75,1.5,0.5013850415512465,0.6378772112382934,4,5,3,2.0,,
3-5세,30,30,0.5,0.25,1.0,1.0,6,9,0,1.0,,
3-5세,120,150,2.5,0.5,0.5,0.6800000000000002,3,4,2,2.0,,
3-5세,180,240,3.0,0.5,0.3888888888888889,0.5,5,6,2,2.0,,
3-5세,240,150,2.5,1.0,0.34375,0.3600000000000001,4,5,3,2.0,,
3-5세,60,0,1.25,0.0,1.0,0.0,3,5,2,1.0,,
3-5세,130,240,2.5,0.25,0.8579881656804735,1.0,3,3,0,1.0,,
3-5세,180,180,2.5,1.0,0.5555555555555556,0.5555555555555556,5,5,2,2.0,,
3-5세,40,0,0.75,0.0,1.0,0.0,3,9,2,1.0,,
3-5세,85,150,0.75,0.75,0.6401384083044982,0.768888888888889,5,5,0,1.0,,
3-5세,300,480,2.0,1.0,0.44,0.59375,5,5,3,2.0,,
3-5세,300,480,2.75,1.25,0.44,0.40625,2,2,3,0.0,,
3-5세,50,50,1.75,1.0,0.6800000000000002,0.6800000000000002,6,6,2,2.0,,
3-5세,90,210,1.5,1.0,0.5555555555555556,0.5918367346938775,3,6,2,2.0,,
3-5세,60,60,1.25,0.5,1.0,1.0,4,4,0,1.0,,
3-5세,600,780,3.75,1.0,0.38,0.5266272189349113,3,4,1,0.0,,
3-5세,70,300,2.0,1.5,0.510204081632653,0.3600000000000001,6,6,3,2.0,,
3-5세,90,300,2.25,1.5,0.3333333333333333,0.3600000000000001,4,5,3,2.0,,
3-5세,180,360,3.0,1.5,0.3333333333333333,0.3333333333333333,3,3,3,2.0,,
3-5세,60,180,1.25,0.5,1.0,1.0,2,9,0,1.0,,
3-5세,60,150,0.75,1.0,1.0,0.52,4,4,2,1.0,,
3-5세,60,0,1.0,0.0,1.0,0.0,5,5,2,1.0,,
3-5세,180,120,1.25,0.5,1.0,1.0,5,9,0,1.0,,
3-5세,120,180,2.5,1.0,0.5,0.5555555555555556,4,4,2,2.0,,
3-5세,120,240,2.0,1.0,0.5,0.5,6,4,2,2.0,,
3-5세,60,60,1.25,0.5,1.0,1.0,4,5,0,1.0,,
3-5세,120,120,1.0,1.0,0.5,0.5,5,6,2,2.0,,
3-5세,60,0,0.25,0.0,1.0,0.0,4,9,2,1.0,,
3-5세,180,120,2.0,1.0,0.5555555555555556,0.5,2,3,2,2.0,,
3-5세,15,240,0.25,0.25,1.0,1.0,3,5,0,1.0,,
3-5세,135,120,1.75,0.25,0.7969821673525377,1.0,3,6,0,1.0,,
3-5세,120,180,2.5,1.0,0.5,0.5555555555555556,3,4,2,2.0,,
3-5세,90,120,1.0,0.5,0.5555555555555556,0.5,7,7,2,1.0,,
3-5세,120,180,2.25,0.75,0.5,0.5555555555555556,6,5,2,2.0,,
3-5세,60,480,1.5,1.0,0.5,0.5,3,3,2,2.0,,
3-5세,330,420,3.75,1.5,0.4710743801652892,0.346938775510204,3,6,3,0.0,,
3-5세,300,240,2.25,1.0,0.42,0.625,5,6,3,2.0,,
3-5세,90,120,0.75,0.25,1.0,1.0,3,6,0,1.0,,
3-5세,125,120,1.5,0.25,0.9232,1.0,3,3,0,1.0,,
3-5세,480,840,2.75,1.25,0.46875,0.4591836734693877,3,5,1,0.0,,
3-5세,218,150,2.5,0.5,0.3434896052520832,0.6800000000000002,3,6,2,2.0,,
3-5세,180,180,2.75,1.25,0.3333333333333333,0.3888888888888889,3,4,3,2.0,,
3-5세,90,180,3.75,1.5,0.3333333333333333,0.3333333333333333,4,3,3,2.0,,
3-5세,420,420,3.75,1.5,0.346938775510204,0.346938775510204,6,3,3,0.0,,
3-5세,180,120,1.5,1.0,0.5555555555555556,0.5,4,4,2,2.0,,
3-5세,80,240,1.25,0.5,0.625,0.625,5,4,2,1.0,,
3-5세,0,120,0.0,0.5,0.0,1.0,6,6,0,1.0,,
3-5세,62,61,1.5,0.5,0.9682622268470344,1.0,6,6,0,1.0,,
3-5세,120,300,0.75,1.25,1.0,0.3600000000000001,5,5,2,2.0,,
3-5세,60,90,1.0,1.0,0.5,0.5555555555555556,5,6,2,2.0,,
